Puerto Rico,18.46666667,-66.116667
Qatar,25.28333333,51.533333
Romania,44.43333333,26.1
Russia,55.75,37.6
Rwanda,-1.95,30.05
Saint Barthelemy,17.88333333,-62.85
Saint Helena,-15.93333333,-5.716667
Saint Kitts and Nevis,17.3,-62.716667
Saint Lucia,14,-61
Saint Pierre and Miquelon,46.76666667,-56.183333
Saint Vincent and the Grenadines,13.13333333,-61.216667
Samoa,-13.81666667,-171.766667
San Marino,43.93333333,12.416667
Sao Tome and Principe,0.333333333,6.733333
Saudi Arabia,24.65,46.7
Senegal,14.73333333,-17.633333
Serbia,44.83333333,20.5
Seychelles,-4.616666667,55.45
Sierra Leone,8.483333333,-13.233333
Singapore,1.283333333,103.85
Sint Maarten,18.01666667,-63.033333
Slovakia,48.15,17.116667
Slovenia,46.05,14.516667
Solomon Islands,-9.433333333,159.95
Somalia,2.066666667,45.333333
South Africa,-25.7,28.216667
South Sudan,4.85,31.616667
Spain,40.4,-3.683333
Sri Lanka,6.916666667,79.833333
Sudan,15.6,32.533333
Suriname,5.833333333,-55.166667
Svalbard,78.21666667,15.633333
Swaziland,-26.31666667,31.133333
Sweden,59.33333333,18.05
Switzerland,46.91666667,7.466667
Syria,33.5,36.3
Taiwan,25.03333333,121.516667
Tajikistan,38.55,68.766667
Tanzania,-6.8,39.283333
Thailand,13.75,100.516667
Timor-Leste,-8.583333333,125.6
Togo,6.116666667,1.216667
Tonga,-21.13333333,-175.2
Trinidad and Tobago,10.65,-61.516667
Tunisia,36.8,10.183333
Turkey,39.93333333,32.866667
Turkmenistan,37.95,58.383333
Turks and Caicos Islands,21.46666667,-71.133333
Tuvalu,-8.516666667,179.216667
Uganda,0.316666667,32.55
Ukraine,50.43333333,30.516667
United Arab Emirates,24.46666667,54.366667
United Kingdom,51.5,-0.083333
United States,38.883333,-77
Uruguay,-34.85,-56.166667
Uzbekistan,41.31666667,69.25
Vanuatu,-17.73333333,168.316667
Venezuela,10.48333333,-66.866667
Vietnam,21.03333333,105.85
US Virgin Islands,18.35,-64.933333
Wallis and Futuna,-13.95,-171.933333
Yemen,15.35,44.2
Zambia,-15.41666667,28.283333
Zimbabwe,-17.81666667,31.033333
US Minor Outlying Islands,38.883333,-77
Northern Cyprus,35.183333,33.366667
British Indian Ocean Territory,-7.3,72.4
